name	address	gender	rating	Service_1	Price_1	Service_2	Price_2	Service_3	Price_3	Service_4	Price_4	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Fade & Play - Al Barsha	"Trio Building, Block C, Front Street, Dubai Al Barsha 1"	Men only	4.9	Wash And Style	AED 150	Shampoo + Conditioner	AED 50	Perm short hair	AED 400	Hair mask	AED 100	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm
Uncle SAM Gents Salon	"Gemini Splendor Building, Sobha Hartland, Dubaï Sobha Hartland"	Men only	5	Haircut	AED 90	Beard Trim	AED 50	L'Oréal Absolut Repair Molecular Reconstruction	AED 150	Nose Strips	AED 15	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm
Akin Barber and Shop at 25 Hours Hotel	"25Hours Hotel One Central, Trade Center St, Dubai"	N/A	5	Nose & Ears Waxing	AED 50	Hair Cut & Beard Tune-Up	AED 250	Hair Cut - Restyling	AED 200	Express Facial	AED 200	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
The Den Salon	"Shop 01 & 02, Miracle Residences Building, Dubai Arjan"	Women only	5	Fringe cut stand alone	AED 100	Sculpting Face massage w/ eye treatment	AED 150	Redken Toner ADD ON	AED 200	Upgraded Scalp Treatment	AED 300	9:00?am - 8:00?pm	9:00?am - 8:00?pm	8:00?am - 9:00?pm	8:00?am - 9:00?pm	9:00?am - 6:00?pm	9:00?am - 6:00?pm	Closed
WOW Beauty Salon - Dubai Mall	"The Dubai Mall, LG Floor, Facing Waitrose Supermarket, Dubai Downtown Dubai"	Women only	4.8	Eyelash Extensions Full Set Natural Look | WOWMKUPHS05	AED 312	Ultimate Pedicure VOESH (6 steps) | WOWNAIL115	AED 200	Gel Polish French (Feet) | WOWNAIL50	AED 210	VOESH Gel Add On | WOWNAIL116	AED 70	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
B27 Barbershop	"B27 Barbershop, Binghatti Emerald, Shop #2, Dubai Jumeirah Village Circle"	N/A	5	Kids Classic Cut	AED 70	Unlimited styling // Subscription Only	AED 60	Deluxe Facial Experience	AED 275	Hydrating Steam Treatment	AED 150	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Maison De Coiffure Beauty Lounge	"Hessa Street, Radisson Hotel Building, Dubai Damac Hills"	Women only	4.9	Ombre Nail Extensions / Acrylic	AED 450	Basic Manicure (Only Cleaning)	AED 75	Milk Shake Mix Treatment (Moisturizing & Repair)	AED 300	Henna Both Hand Until Wrist (One Side)	AED 100	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
717 Gents Salon	"717 Gents Salon, 58H3+QVR, Dubai Nad Al Sheba 1"	Men only	4.9	Power C facial treatment	AED 385	Eyebrow Color	AED 40	Nose Waxing	AED 20	Kevin.Murphy Scalp treatment for oily & Sensitive &dandruff	AED 105	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Grow Organic Gents Salon	"World Trade Centre Metro Footbridge, Offices 3, One Central, Dubai"	Men only	5	Only Scrub	AED 50	Brazilian Blowout	AED 450	Haircut Scissors Only & Beard	AED 220	Foot Massage	AED 150	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	10:00?am - 7:00?pm	10:00?am - 7:00?pm
"The Nest Hair Salon, Jumeirah"	"The Nest Salon, Jumeirah St - next to Al Masraf Bank, Dubai Umm Suqeim, Umm Suqeim 1"	Women only	4.9	Luxury Spa Manicure	AED 170	Up Style	From AED 470	Oribe Serene Scalp Exfoliating Scrub	From AED 330	System Professional Luxe oil infusion ampoule	From AED 295	Closed	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 6:00?pm	9:00?am - 6:00?pm
Al Shanab Gents Salon	"14 B Street, Jumeirah 1, Dubai"	N/A	5	Gents Haircut	AED 70	Beard Colouring	AED 50	Aesop Deep Cleanse Facial	AED 230	Manicure	AED 80	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	3:00?pm - 11:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Beauty Room Salon & Spa | Nad Al Sheba	"Nad Al Sheba - Nad Al Sheba 2 - Dubai, Dubai Nad Al Sheba, Nad Al Sheba 2"	Women only	4.9	Kids Blow Dry S/M	AED 80	Kerastase Glass Gloss	AED 399	Natural Gel / Acrylic / Polygel Full Set	AED 350	Straight Blow Dry | Short Hair	AED 80	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Furless Permanent Mirdif (Dubai/Electrolysis)	"1st Floor, Park Centre Mirdif - 41 26 B St, Dubai Mirdif"	N/A	4.8	Pay As You Go	AED 150	Pay as you go- 30 mins	AED 300	Pay as you go- 45 mins	AED 450	N/A	N/A	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm
Locks by Loulou Al Wasl	"19A - Villa 1A Al Wasl Rd - Jumeirah, Dubai"	Women only	4.9	Make up only	AED 550	Consultation	Free	Root Colour	From AED 327.80	Balayage/ ombre consultation	Free	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 7:00?pm	9:00?am - 5:00?pm	9:00?am - 6:00?pm
Cabello Lounge Femme Ladies Salon	"Downtown Views II, Tower 1, 672J+W42, Dubai Za'abeel, Za'abeel 2"	Women only	4.9	Kevin Murphy Scalp Treatment	AED 265	Eyes Make-up Without Lashes	AED 155	Hair Style Add-Ons	AED 105	Hair Extension Luxury Tape Tape 50 grm 70 cm	"AED 1,260"	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Soho Vintage Barbers | Media City	"Business Central Tower, Dubai Al Sufouh2, Dubai Media City"	Men only	5	Beard	AED 70	Nose Wax	AED 35	Free Consultation	Free	Manicure	AED 90	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm	9:00?am - 11:00?pm
House of Cuts - Business Bay	"15 Northside Business bay, Dubai"	N/A	5	Energising Hair Loss treatment	AED 100	Beard Trim	From AED 90	Free consultation	AED 0	Express Facial	AED 150	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Barberhood Gents Salon	"Lavender 2, Emirates Garden, District 12K, R04, Dubai Jumeirah Village Circle"	Men only	5	Highlights	AED 250	Executive Facial with steam	AED 150	Body Waxing by Part	AED 150	Ear wax	AED 10	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Furless Permanent Al Quoz (Dubai/Electrolysis)	"Dubai, 5 A Street Al Shafar Investment Building Unit 145-144 first floor, Dubai Al Qouz"	N/A	4.9	Pay As You Go	AED 150	Pay as you go- 30 mins	AED 300	Pay as you go- 45 mins	AED 450	N/A	N/A	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm
Pretty Wow	"Red Diamond Building, 35G3+WXH, S201/202/203, Dubai JLT"	Women only	5	BioRePeel	AED 750	1:1 Summer Promo	"AED 4,000"	Blow Dry	AED 160	HD Brows	AED 300	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	7:00?am - 4:00?pm	9:00?am - 6:00?pm
Lunatic Fringe Ladies Salon	"Le Royal Meridien Beach Resort & Spa, Al Mamsha Street, Dubai Dubai Marina"	Women only	4.9	Tape Extension ( Slim - Line and invisi Tapes)  - Removal	AED 200	Skeyndor Express Facial	AED 220	Hair Style - Half Updo	From AED 350	Highlights/Lowlights - Full Head	From AED 625	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm
Peach Beauty Bar	"Peach Beauty Bar, Lake Level, Lake Shore Tower, B01 Cluster Y, Dubai Jumeirah Lake Towers"	Women only	4.9	Hydrating Facial - Dr. Renaud	AED 200	Blow Dry - Hair Extension	AED 200	Foot Massage	AED 70	Anti-Ageing Eye Treatment	AED 200	Closed	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm
Mantis Gent’s Salon - Business Bay	"57HC+VP, Ground Floor Sobha Ivory 1 - Al Amal St -, Ground Floor Sobha Ivory 1 - Al Amal St -, Dubai Business Bay - Dubai, 00000"	N/A	4.8	Full Hair	AED 250	Haircut	AED 85	Classic	AED 220	Manicure	AED 85	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm
Brusko Barbers	"Best Barbershop in JLT Dubai, Gents Salon, Dubai, Jumeirah Business Center Towers, Cluster G, ??? ????? ?????? ???????"	N/A	5	Regular Trim	AED 100	Regular Haircut + Shave	AED 165	Keratin With Anti-aging Hair Mask	AED 370	Hair Colour (1 tone)	AED 210	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 9:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Furless Permanent Coca Cola Arena- SZR (Dubai/Electrolysis)	"DNIC Building, 1st Floor, Office 116, Sheikh Zayed Road, Dubai Al Wasl"	N/A	4.9	Pay As You Go	AED 150	Pay as you go- 30 mins	AED 300	Pay as you go- 45 mins	AED 450	N/A	N/A	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm	10:00?am - 8:30?pm
Lvls Barbershop	"Goshi Warehouse City, 19 Street, Unit 84, Dubai Al Quoz, Al Quoz Industrial Area 3"	Men only	5	Trims (shape up)	AED 50	Wax	AED 30	Foot massage	AED 60	Hair color	AED 200	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Sofitel Spa Dubai Downtown	"Sofitel Dubai Downtown, Sheikh Zayed Rd - Downtown Dubai, Dubai"	N/A	4.9	Sofitel Unwind Package	AED 750	Signature Massage *	AED 640	Moroccan Royal Hammam - For Female Only*	AED 750	Moroccan Royal Hammam - For Male Only*	AED 750	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
Casa Barbershop	"Shop 7, Continental Tower, 8 Jumeirah Beach Rd, Dubai Marina, Dubai"	Men only	5	Classic Haircut	From AED 120	Haircut and Beard Combo	From AED 200	Beard Trim	From AED 100	Deep Facial Treatment	AED 215	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Barberia Italiana Grooming Lounge Ltd.	"Gate District 2 2nd floor, Unit 7, Dubai Trade Centre, DIFC"	N/A	4.9	Body Scrub	AED 250	Ultimate Shaving (Private Room)	AED 250	Barberia Italiana Royal Haircut	AED 185	Express Shaving	AED 100	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm
Musk Barbershop JVT	"Jeera V (formerly BQ2 Residence), 25VV+HH2, Dubai Jumeirah Village, Jumeirah Village Triangle"	Men only	5	Black Mask + Scrub + Hot Towel	AED 75	Executive Haircut	AED 120	Hair Cut/Fade	AED 95	Face Scrub & Hot Towel	AED 35	11:00?am - 10:00?pm	11:00?am - 10:00?pm	11:00?am - 10:00?pm	11:00?am - 10:00?pm	11:00?am - 10:00?pm	11:00?am - 10:00?pm	11:00?am - 10:00?pm
Menspire Dubai	"Azizi Riviera 28, Mohammed Bin Rashid City CP02 014, Dubai Nad Al Sheba 1"	N/A	5	Revitalising Facial	AED 250	Hair & Beard	From AED 220	Haircut	From AED 150	Beard Trim	From AED 80	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
London Base Barbershop - Business Bay	"Bay Square, Building 1, Shop 2, Dubai Business Bay"	Men only	4.9	"Wash, Blow Dry & Style"	AED 40	Legs shave	AED 50	Hot oil	From AED 50	Pedicure & Manicure	AED 150	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm
Hair Hunchos Barbers	"Sobha Waves, Sobha Hartland, Mohammed Bin Rashid Al Maktoum City, Retail 8, Dubai Nad Al Sheba, Nad Al Sheba 1"	Men only	5	Beard Colouring	AED 70	Ears and Nose Wax	AED 30	Pedicure	AED 100	Style Up	AED 40	11:00?am - 9:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	10:30?am - 10:00?pm	11:00?am - 9:00?pm
Beauty Trend Salon	"JVC, Emirates Garden 1, Lavender 2 Bldg. Shop 1,  District 12 Street 16, Dubai"	Women only	4.9	Roots bleach &toner	AED 700	Eyelashes tint	AED 110	Summer offer: Relaxing Body Massage + Body Bandage	AED 800	Threading / Waxing Upper Lip /Chin/Forehead	AED 40	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 10:00?pm	9:00?am - 7:00?pm	Closed	9:00?am - 10:00?pm
Mokhtar Safadi Beauty Lounge	"Mokhtar Safadi Beauty Lounge (Ladies), 673G+W49, DIFC, Dubai Trade Centre, Difc"	Women only	4.9	Eyebrow Lamination Offer	AED 300	Express  Facial	AED 200	Fringe Cut by Mokhtar	AED 150	Roots Touch-Up	AED 240	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm
The Nail Pavilion  Salon	"Seventh Heaven, Dubai, ??? Al Barari"	Women only	4.9	Event HSC	AED 100	Lycon Full Back	AED 150	Sports Massage | 90 mins	AED 500	Nose | Middle Eyebrow Threading	AED 45	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
Saltzen Spa	"City Walk Parking 2, Al Safa Street, Dubai Al Wasl"	Women only	5	Deep Tissue Massage	AED 385	Madero Therapy & Cellulite Attack Body Wrap	AED 650	Slimming Massage	AED 200	The Hydration Facial	AED 385	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Yasmin Beauty Lounge	"???? ????? ????????, Dubai Jumeirah Village"	Women only	4.8	Moroccan Bath Traditional	AED 200	Lip Blush	"AED 2,000"	Simple Hairstyle	AED 250	Haircut Only	AED 280	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Project Hairway - Business Bay	"Westburry Tower Office, Marasi Drive, Dubai Business Bay"	Men only	5	Signature Haircut - (Hair Cut + Nourishing Oil Hair Treatment)	AED 160	Full Body Waxing	AED 300	Buzz Cut	AED 85	Beard Trim	AED 80	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am	9:00?am - 12:00?am
Jalal Hafed Gents Salon	"Building 6, Al Raya Street, City Walk Dubai, Dubai"	Men only	5	Haircut	From AED 350	Manicure	AED 110	Nose Waxing	AED 75	Express Facial	AED 250	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
Cabello Lounge - Uptown Mirdif	"112 15th Street, Dubai Mirdif"	N/A	4.9	Eyebrow Coloring	AED 40	Hot Stone Massage 60 minutes (Uptown)	AED 375	VIP Room - UM	AED 250	Relaxing Offer 1hr Full Body Massage (VOUCHER HOLDER ONLY)	AED 99	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Nail'd it Dubai Mall	"Financial Center Street, Along Sheikh Zayed Road, Next to Burj Khalifa, Dubai Downtown Dubai"	Women only	4.8	Full Body Tan	AED 300	Same Time Manicure - No Polish	AED 200	VIP Lash & Brow Therapist	AED 650	Eyelash Extensions	AED 195	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:00?pm	10:00?am - 11:55?pm	10:00?am - 11:55?pm	10:00?am - 11:55?pm
Silvio Alkassab Gents Salon	"Silvio Gents Salon, next to Al Masraf Bank Jumeirah Branch, Dubai, Umm Suqeim 1, ??? ?? ????, Jumeirah 3"	Men only	5	Facial scrub express only ( skeyndor )	AED 125	Full Body massage  with hot stone	AED 300	Wig Service | VIP Room	AED 350	Hand Massage	AED 50	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
