name	address	gender	rating	Service_1	Price_1	Service_2	Price_2	Service_3	Price_3	Service_4	Price_4	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
Moe's Lounge - Jumeirah Garden City	"Jumeirah Garden City, Flagship Two Building, 22B Street, Shop Number 9, Dubai"	Men only	4.9	MEET THE ARTIST  (for consultation)	Free	(2x) Face Yoga sessions + (2x) Deep Cleansing Facial sessions	"AED 1,800"	Organic Keratin Hair Treatment (Any Length) with Free Manicure	AED 250	MOE'S SIGNATURE CANDLE MASSAGE	AED 600	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
Chi Nail Spa - JVT	"Imperial Residence, Shop 7 & 8, Dubai Jumeirah Village Triangle, 454562"	Women only	4.9	BIAB Color Tips  Nail Extension Full Set	AED 360	Signature Spa Basic Manicure	AED 120	OPI Manicure Color	AED 150	Full set nail art with stones	AED 150	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm	9:00?am - 9:00?pm
The Gentlemen's Lounge	"Jumeirah Business Center 5, Dubai Jumeirah Lakes Towers"	Men only	4.9	Protein Treatment (Up to 6 inches)	AED 500	Relaxing or deep tissue Massage ( HOME SERVICE )	AED 700	Beard Colour	AED 65	Head Shave with Blade & Towels	AED 75	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Adara Spa Retreat	"The Cove 2, Dubai Ras Al Khor, Dubai Creek Harbour"	Women only	5	SIGNATURE BODY SCRUB AND WRAP ON FLOATATION BED 45mins	AED 630	ENT - VICHY SHOWER MASSAGE -	AED 650	CRANIOSACRAL OSTEOPATHY 60 MINUTES	AED 760	ANNUAL SUPPORT	"AED 21,000"	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
mea Beauty Lounge - Jumeirah Golf Estates	"The Fairway Mall, Jumeirah Golf Estates, Dubai, Unnamed Road, 258V+23X, Ground Floor, Shop no. 6, Dubai"	Women only	5	"Tension Release Head, Shoulder & Neck Massage"	AED 125	Princess Mani/Pedi Polish	AED 0	Facial Extractions	AED 0	Maderotherapy - Sculpt & Define ( 90 mins ) buy 10 session get 20 % OFF	"AED 3,840"	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm	10:00?am - 8:00?pm
Tess Avenue Beauty Salon	"170b Jumeirah Street, Villa 33, Dubai Jumeirah, Jumeirahjumeirah 1"	Women only	4.9	Toner Masterstylist	AED 200	Amazon Xtrem	AED 600	Back Facial	AED 450	Japanese Hair Spa	From AED 500	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
Vita Home Spa Dubai	"Home Services for Women and Couples, Dubai"	N/A	4.9	Vita Stretch Therapy (45 Minutes)	AED 295	Deep Tissue Massage	AED 330	30 Minute Head & Neck Massage	AED 90	Vita Wellness Gift Box	AED 490	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
"Fade & Shave Barbers The Beach, JBR"	"THE BEACH at JBR, Opposite JBR, Dubai"	Men only	4.9	Classic Beard Shave/Trim.	AED 85	Haircut.	AED 120	Face Mask/Scrub.	AED 100	Hand Massage.	AED 75	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am	10:00?am - 12:00?am
R Style Salon	"Rstyle Beauty Salon, Burj Khalifa Blvd, Burj Khalifa Boulevard, Dubai Downtown Dubai"	N/A	4.8	Hair Cut	AED 264	Hair Extension One by One (1pc)	From AED 6.60	Per 5 Minute	AED 52	Extention Acrylic / Gel	AED 235	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm	10:00?am - 10:00?pm
"BROUSE. Brow, Hair & Beauty House"	"Al Falak Street, Dubai Al Sufouh, Dubai Media City"	Women only	4.9	HydraFacial & Cleansing Treatment	AED 590	The Gel Bottle Chrome	AED 80	Hair Extension Application	From AED 350	Princess Manicure	AED 50	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm	10:00?am - 9:00?pm
Salaza Gibran Khabbaz	"Tiara East Tower, Dubai Business Bay"	Women only	4.9	Hair Cut	AED 220	Roots + Toner Free Ammonia	AED 440	Russian Gelish Manicure (Cleaning + Gel Polish)	AED 190	Chin Threading	AED 38	10:00?am - 9:30?pm	10:00?am - 9:30?pm	10:00?am - 9:30?pm	10:00?am - 9:30?pm	10:00?am - 9:30?pm	10:00?am - 9:30?pm	10:00?am - 9:30?pm
Casa Rio Beauty Salon	"DAMAC Ghalia Tower, Lazuward South West, https://casario-dubai.com, Dubai Jumeirah Village, 0000"	N/A	4.7	Eye Make Up	AED 250	Detox Facial	AED 350	TRUSS Perfect Mask 180g	AED 250	Manicure - Classic	AED 85	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm	11:00?am - 11:00?pm
Alina Beauty Space	"Living Legends, Andalusia Court Yard Mall, Shop 26, Dubai"	Women only	4.8	Spa day (Moroccan Bath & Full body massage )	AED 300	MOREMO TREATMENT SHORT	AED 550	MOREMO TREATMENT LONG	AED 650	Eye makeup	AED 70	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm	12:00?pm - 8:00?pm
